,img,bbox,label
0,../../malaria/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,"[(1057, 1440, 1158, 1540), (868, 1303, 971, 1403), (578, 900, 689, 1008), (304, 611, 408, 713), (198, 881, 312, 1003), (193, 1480, 293, 1574), (257, 1384, 364, 1502), (430, 302, 533, 392), (747, 1191, 863, 1308), (992, 454, 1087, 552), (755, 1326, 862, 1433), (389, 120, 475, 210), (349, 408, 428, 500), (845, 622, 956, 746), (73, 83, 186, 199), (836, 1147, 943, 1234), (349, 233, 441, 340), (229, 418, 333, 515), (724, 742, 825, 852), (229, 267, 331, 357), (977, 1330, 1059, 1416), (832, 342, 943, 445), (139, 1035, 240, 1147), (150, 178, 263, 291), (51, 516, 158, 638), (700, 1076, 809, 1181), (357, 1296, 456, 1403), (898, 843, 990, 937), (454, 41, 554, 158), (765, 867, 876, 970), (629, 1003, 727, 1106), (532, 471, 642, 575), (1025, 1139, 1136, 1272), (1093, 779, 1194, 879), (706, 532, 823, 649), (79, 1467, 175, 1558), (302, 924, 398, 1042), (421, 1373, 516, 1476), (956, 966, 1052, 1076), (332, 1206, 434, 1306), (1021, 1029, 1121, 1109), (240, 515, 315, 592), (567, 1085, 672, 1198), (466, 1452, 556, 1527), (646, 351, 747, 447), (434, 428, 540, 535), (392, 838, 513, 946), (498, 560, 608, 651), (467, 879, 569, 969), (306, 331, 383, 428), (57, 208, 158, 302), (389, 1474, 491, 1585), (270, 826, 381, 924), (124, 372, 227, 463), (52, 279, 200, 409), (357, 1100, 455, 1198), (104, 404, 210, 501), (329, 1484, 417, 1577), (1000, 836, 1087, 922), (724, 651, 824, 755), (715, 406, 830, 501), (441, 1037, 578, 1155), (1050, 1273, 1172, 1454), (85, 1112, 178, 1224), (8, 1162, 100, 1260), (36, 945, 133, 1067), (447, 483, 543, 590), (336, 682, 439, 776), (332, 717, 426, 828), (417, 1151, 526, 1262), (2, 1425, 90, 1512), (1055, 847, 1147, 945), (864, 836, 948, 945), (962, 922, 1072, 992)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,../../malaria/images/10be6380-cbbb-4886-8b9e-ff56b1710576.png,"[(734, 735, 832, 834), (939, 1283, 1039, 1378), (367, 1134, 476, 1235), (307, 766, 400, 864), (596, 1463, 701, 1556), (546, 1223, 653, 1320), (87, 56, 190, 160), (86, 440, 179, 534), (451, 721, 555, 825), (888, 237, 975, 340), (668, 896, 772, 1005), (38, 188, 131, 291), (678, 410, 794, 532), (374, 1041, 480, 1131), (402, 1284, 501, 1387), (929, 1384, 1041, 1472), (1015, 322, 1121, 420), (247, 335, 356, 441), (680, 1146, 789, 1243), (124, 154, 230, 266), (439, 254, 550, 383), (452, 1415, 552, 1527), (1093, 689, 1187, 801), (749, 948, 843, 1054), (165, 571, 274, 689), (645, 755, 739, 846), (437, 581, 552, 695), (999, 934, 1095, 1043), (145, 1028, 253, 1125), (728, 55, 833, 159), (322, 1433, 438, 1538), (382, 472, 501, 593), (262, 571, 378, 691), (915, 600, 1022, 694), (391, 68, 503, 185), (789, 165, 895, 271), (1090, 512, 1183, 618), (167, 853, 277, 957), (197, 1163, 298, 1270), (398, 853, 500, 969), (68, 631, 196, 742), (1010, 425, 1116, 522), (51, 1371, 164, 1490), (598, 849, 684, 945), (134, 934, 248, 1025), (499, 945, 609, 1049), (36, 925, 133, 1025), (584, 983, 683, 1093), (908, 468, 1005, 566), (1077, 870, 1191, 985), (116, 1135, 233, 1240), (27, 1002, 125, 1113), (568, 254, 669, 355), (182, 986, 296, 1101), (526, 638, 637, 734), (2, 301, 95, 408), (6, 1107, 124, 1190), (262, 1093, 359, 1207), (491, 884, 607, 994), (1089, 360, 1192, 471), (855, 553, 980, 645)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,../../malaria/images/6b14c855-8561-417c-97a4-63fa552842fd.png,"[(724, 1027, 834, 1136), (287, 1155, 387, 1254), (306, 726, 407, 838), (702, 747, 820, 865), (675, 1355, 782, 1474), (1013, 265, 1126, 377), (763, 502, 868, 634), (480, 1173, 586, 1290), (83, 345, 213, 474), (627, 915, 715, 1029), (733, 898, 860, 1010), (869, 749, 986, 862), (819, 1269, 934, 1395), (217, 28, 338, 151), (408, 215, 524, 337), (1, 162, 132, 283), (345, 230, 454, 342), (76, 482, 219, 626), (1020, 1156, 1143, 1314), (569, 1038, 677, 1166)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
3,../../malaria/images/13099edb-35d9-438f-b093-2cf2ebf9d255.png,"[(563, 1421, 656, 1545), (208, 324, 337, 446), (642, 927, 768, 1053), (584, 1260, 682, 1367), (398, 1375, 515, 1485), (789, 480, 896, 591), (267, 1125, 386, 1248), (285, 698, 383, 791), (687, 1297, 820, 1412), (716, 796, 840, 922), (997, 385, 1097, 518), (1055, 1319, 1170, 1450), (291, 796, 416, 909), (378, 1100, 486, 1227), (1017, 1189, 1139, 1322), (81, 1099, 200, 1223), (10, 434, 112, 560), (550, 724, 665, 841), (645, 184, 747, 305), (1028, 30, 1144, 137), (791, 348, 896, 462), (311, 1413, 406, 1551), (208, 1398, 313, 1533), (997, 127, 1119, 248), (909, 1143, 1015, 1271), (90, 663, 195, 776), (42, 241, 147, 362), (313, 500, 406, 614), (184, 955, 293, 1085), (257, 606, 352, 718), (3, 720, 108, 840), (552, 1127, 656, 1259), (534, 984, 648, 1106), (462, 190, 561, 293), (206, 1186, 310, 1298), (938, 185, 1038, 336), (129, 1215, 237, 1347), (647, 1411, 743, 1575), (704, 1415, 813, 1559), (408, 518, 520, 634), (1, 1351, 100, 1480), (397, 1482, 530, 1591)]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,../../malaria/images/2559636b-f01a-4414-93da-210c3b12d153.png,"[(618, 688, 744, 810), (689, 1035, 819, 1168), (661, 422, 803, 558), (417, 1205, 524, 1313), (424, 412, 525, 513), (524, 534, 633, 660), (189, 298, 302, 407), (75, 342, 196, 455), (290, 1075, 416, 1191), (993, 859, 1094, 991), (646, 927, 765, 1041), (809, 221, 930, 335), (495, 731, 605, 835), (998, 89, 1111, 208), (906, 1419, 1030, 1542), (169, 576, 324, 717), (943, 1257, 1074, 1389), (59, 653, 175, 766), (403, 128, 525, 249), (517, 88, 646, 210), (48, 1192, 183, 1319), (38, 992, 154, 1113), (891, 912, 994, 1042), (332, 1396, 463, 1516), (412, 554, 523, 665), (961, 407, 1093, 531), (26, 502, 137, 622), (734, 1228, 861, 1347), (1003, 319, 1128, 436), (772, 1454, 907, 1575), (852, 729, 976, 842), (42, 2, 132, 100), (289, 811, 412, 934), (788, 411, 893, 545), (328, 727, 440, 840), (23, 861, 135, 981), (164, 784, 276, 912), (552, 1383, 715, 1488), (130, 866, 292, 1014), (204, 1044, 297, 1137), (833, 875, 954, 991), (138, 1322, 244, 1471), (907, 430, 1035, 578), (1080, 818, 1186, 973), (233, 1376, 370, 1499), (5, 1317, 132, 1456), (570, 1496, 706, 1598), (1052, 191, 1188, 306), (209, 96, 381, 253)]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
5,../../malaria/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,"[(230, 455, 352, 582), (818, 587, 930, 709), (315, 1006, 439, 1128), (334, 869, 454, 994), (633, 364, 751, 479), (654, 688, 754, 796), (883, 1009, 1006, 1134), (891, 669, 989, 767), (1009, 622, 1132, 739), (848, 1131, 965, 1247), (934, 36, 1063, 153), (346, 210, 447, 319), (370, 1151, 483, 1272), (756, 1059, 865, 1161), (1016, 1029, 1130, 1138), (373, 476, 496, 604), (520, 1180, 644, 1304), (672, 614, 754, 693), (194, 237, 317, 356), (526, 345, 630, 454), (578, 53, 713, 178), (286, 1200, 389, 1313), (140, 642, 241, 756), (763, 119, 886, 238), (450, 400, 545, 508), (1010, 838, 1099, 925), (124, 311, 257, 433), (242, 136, 360, 248), (642, 1202, 767, 1321), (883, 777, 991, 889), (57, 250, 175, 372), (451, 927, 566, 1039), (984, 1127, 1110, 1252), (135, 63, 239, 181), (711, 231, 845, 353), (853, 845, 963, 953), (557, 514, 656, 600), (663, 952, 763, 1050), (939, 754, 1060, 868), (432, 1029, 534, 1139), (773, 1163, 866, 1287), (388, 313, 489, 411), (496, 125, 623, 253), (374, 605, 466, 714), (565, 589, 668, 694), (545, 979, 667, 1097), (472, 767, 545, 879), (249, 384, 353, 470), (504, 678, 616, 790), (223, 732, 336, 860), (484, 244, 578, 349), (954, 930, 1076, 1032), (363, 799, 485, 918), (322, 329, 420, 429), (260, 668, 361, 774), (462, 1417, 612, 1535), (1075, 37, 1181, 124), (284, 571, 400, 674), (226, 39, 327, 147), (755, 973, 839, 1073), (791, 409, 946, 560), (676, 1330, 826, 1461), (546, 783, 661, 885), (8, 1446, 227, 1581), (988, 441, 1174, 565), (642, 479, 762, 582), (729, 548, 832, 631), (449, 188, 560, 299), (336, 9, 443, 100), (342, 49, 441, 156), (397, 101, 501, 190), (182, 128, 280, 229), (496, 877, 614, 978), (458, 665, 550, 755), (227, 575, 329, 680), (120, 747, 201, 849), (965, 526, 1076, 608), (774, 873, 866, 978), (849, 1020, 941, 1123), (772, 838, 881, 948), (620, 832, 740, 937), (648, 1104, 740, 1204), (644, 1052, 755, 1157), (543, 1099, 642, 1209), (554, 877, 655, 990), (408, 700, 505, 804), (323, 746, 417, 862), (963, 603, 1069, 710), (1005, 1403, 1103, 1519), (659, 888, 744, 986), (999, 939, 1117, 1072), (751, 342, 871, 456)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,../../malaria/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,"[(124, 549, 223, 644), (526, 785, 626, 883), (1006, 931, 1112, 1042), (374, 607, 483, 707), (693, 183, 786, 288), (724, 1296, 826, 1409), (228, 1380, 366, 1498), (275, 1277, 387, 1383), (376, 74, 483, 183), (243, 499, 352, 593), (347, 1080, 465, 1188), (543, 908, 648, 1029), (196, 730, 305, 839), (554, 191, 675, 294), (741, 266, 862, 383), (886, 795, 1004, 912), (209, 114, 304, 243), (173, 842, 274, 942), (67, 99, 169, 204), (984, 476, 1099, 594), (649, 527, 745, 623), (606, 630, 729, 758), (490, 1447, 591, 1552), (691, 1426, 796, 1539), (178, 961, 276, 1063), (424, 918, 528, 1007), (604, 1362, 710, 1454), (826, 1321, 935, 1409), (505, 71, 614, 174), (127, 186, 242, 282), (778, 1217, 894, 1300), (1029, 787, 1148, 894), (315, 964, 442, 1077), (217, 611, 320, 699), (994, 127, 1116, 219), (25, 552, 135, 679), (415, 709, 538, 822), (73, 1443, 183, 1548), (595, 1048, 704, 1160), (675, 828, 811, 937), (96, 1006, 196, 1114), (401, 842, 514, 939), (1017, 719, 1140, 828), (1001, 1292, 1131, 1380), (123, 1049, 228, 1169), (1085, 342, 1200, 451), (866, 679, 969, 787), (1082, 11, 1199, 126)]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,../../malaria/images/84c88143-940d-4b62-bbd2-7acc4cadcb6b.png,"[(130, 1089, 242, 1215), (880, 6, 979, 101), (1023, 726, 1135, 841), (606, 863, 740, 982), (478, 1062, 613, 1190), (969, 290, 1071, 411), (489, 802, 610, 908), (170, 769, 288, 888), (726, 1132, 850, 1253), (62, 616, 168, 735), (162, 1166, 292, 1282), (1040, 1471, 1167, 1583), (955, 97, 1073, 218), (447, 462, 568, 585), (862, 628, 997, 748), (762, 925, 875, 1041), (108, 257, 227, 380), (486, 615, 595, 730), (550, 1183, 661, 1307), (458, 1334, 578, 1455), (1079, 1032, 1196, 1153), (590, 118, 717, 236), (963, 957, 1080, 1074), (661, 1496, 763, 1597), (395, 985, 506, 1107), (214, 328, 338, 442), (144, 1307, 271, 1411), (15, 357, 141, 460), (633, 728, 776, 850), (265, 155, 387, 277), (549, 962, 667, 1081), (187, 1402, 300, 1524), (328, 1372, 439, 1469), (851, 285, 970, 401), (273, 366, 397, 500), (200, 593, 314, 718), (34, 1167, 136, 1289), (977, 513, 1098, 637), (654, 1214, 793, 1324), (798, 740, 922, 868), (545, 195, 651, 318), (299, 505, 420, 626), (696, 18, 807, 133), (224, 504, 345, 605), (267, 1432, 378, 1555), (30, 1080, 138, 1212), (345, 902, 488, 1025), (942, 1416, 1020, 1552), (524, 44, 629, 160), (571, 411, 690, 515), (127, 351, 252, 469), (675, 404, 802, 534), (787, 1037, 957, 1169), (440, 180, 551, 281), (809, 1105, 935, 1214), (301, 1398, 418, 1525), (476, 131, 599, 233), (605, 371, 721, 488)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
8,../../malaria/images/c6d97845-8ad2-4ab7-b385-66613628df5b.png,"[(1035, 339, 1147, 454), (908, 320, 1024, 427), (1032, 871, 1147, 971), (852, 397, 969, 523), (454, 610, 573, 726), (726, 1093, 839, 1204), (248, 421, 352, 517), (45, 506, 158, 612), (263, 336, 387, 436), (305, 240, 427, 343), (500, 1250, 625, 1353), (519, 766, 639, 874), (464, 872, 574, 999), (9, 311, 147, 426), (921, 1362, 1100, 1456), (1013, 1492, 1136, 1591), (646, 1270, 769, 1389), (309, 441, 459, 564)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
9,../../malaria/images/bbf687b5-c6f9-4821-b2e5-a25df1acba47.png,"[(971, 1066, 1095, 1189), (1079, 847, 1191, 969), (110, 806, 235, 958), (316, 771, 432, 929), (21, 1061, 146, 1191), (798, 1392, 927, 1531), (703, 377, 830, 498), (214, 1251, 344, 1388), (564, 421, 702, 556)]","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
